sentenceID,sentence,antecedent,consequent,antecedent_startid,antecedent_endid,consequent_startid,consequent_endid
200035,"If Lost Rivers had closed, the alternative would have been hospitals in Idaho Falls or Pocatello, each more than an hour away across high-altitude prairie.",If Lost Rivers had closed,the alternative would have been hospitals in Idaho Falls or Pocatello,0,24,27,95
200036,"They would have been better off should there have been a failure of more banks, even a giant bank or two.","should there have been a failure of more banks, even a giant bank or two",They would have been better,32,103,0,26
200037,"They would say: I don't like this, I wish it hadn't happened but I am at least learning what pain is.",I wish it hadn't happened,{},35,59,-1,-1
200038,"Fellow denizens of the board had already offered more than a dozen responses, and they had already said what I would have said, plus a lot more.",they had already said what I would have said,{},82,125,-1,-1
200039,"The doctor says that if the Texas law had been upheld, he would have had to stop performing abortions in his two office locations because they do not meet the surgery center requirements, which include particular hallway dimensions and certain equipment.",if the Texas law had been upheld,he would have had to stop performing abortions in his two office locations,21,52,55,128
200040,"If you had given me the keys to the Blockbuster kingdom in the spring and told me to fix what was wrong with it, I would have done many of the things Keyes is doing.",If you had given me the keys to the Blockbuster kingdom in the spring and told me to fix what was wrong with it,I would have done many of the things Keyes is doing,0,110,113,163
200041,"Peter Clark, chairman of the drugs fund, said in January that an overhaul was essential because, without action, the cost of the fund would have more than doubled from Â£200m last year to Â£420m next year.",without action,the cost of the fund would have more than doubled from Â£200m last year to Â£420m next year,97,110,113,203
200042,"In the case of Mr Al-Libi, who was grabbed by Delta Force commandos as he returned to his home in a Tripoli suburb after morning prayers, a drone strike would have been unthinkable-many innocent bystanders could have been killed.",a drone strike would have been unthinkable,many innocent bystanders could have been killed,138,179,181,227
200043,Chris McDougall is convinced far more people would go for a jog if we hadn't all heard the horror stories about the chronic injuries that plague runners.,if we hadn't all heard the horror stories about the chronic injuries that plague runners,far more people would go for a jog,64,151,29,62
200044,"Crowley might have kept his job, or at least found a softer landing, had President Obama not been asked about his comment 18 hours later at a news conference and voiced full support of the Pentagon.",had President Obama not been asked about his comment 18 hours later at a news conference and voiced full support of the Pentagon,"Crowley might have kept his job, or at least found a softer landing",69,196,0,66
200045,They couldn't have sent a better message than if they'd all extended their middle finger.,if they'd all extended their middle finger,They couldn't have sent a better message,46,87,0,39
200046,"By opting into the plea agreement then violating it, Manafort ensured he'll receive a harsher sentence than he would have had he simply pleaded guilty.",had he simply pleaded guilty,"By opting into the plea agreement then violating it, Manafort ensured he'll receive a harsher sentence than he would have",122,149,0,120
200047,"When they tested a strategy that sold stocks and went into cash every time price-to-dividend multiples went clearly above their historic mean at the time, and re-entered when they had become cheap, in 20 different countries, they found that in all of them it would have been better simply to buy and hold stocks.",it would have been better simply to buy and hold stocks,{},256,310,-1,-1
200048,"If another 745 citizens (of 1.5m) had voted for the opposition in Schleswig-Holstein on February 20th, the centre-left coalition would have lost power in the state, which shares a border with Denmark.",If another 745 citizens (of 1.5m) had voted for the opposition in Schleswig-Holstein on February 20th,"the centre-left coalition would have lost power in the state, which shares a border with Denmark",0,100,103,198
200049,"It would have been impossible, he argued, to maintain the deep integration of the single market without the single currency.",without the single currency,"It would have been impossible, he argued, to maintain the deep integration of the single market",96,122,0,94
200050,"Lieberman can claim momentum, that had he had two more weeks he would've won.",had he had two more weeks,he would've won,35,59,61,75
200051,"He said he could not recall fees to be paid for the June ASA but ""if they had been so material as to be noteworthy, that would have been drawn to my attention"".",if they had been so material as to be noteworthy,that would have been drawn to my attention,66,113,116,157
200052,"What would have happened if Obama had adopted austerity as Berlin imposed austerity on the European periphery? It would have prevented any recovery, throwing the U.S.",if Obama had adopted austerity as Berlin imposed austerity on the European periphery,"It would have prevented any recovery, throwing the U.S",25,108,111,164
200053,"On the contrary, we would have long ago achieved the dream of universal access to decent care had liberals let go of their dream of big government's supervisory role and paid more attention to the likes of Messrs Hayek and Friedmen when they talked about about how to get this sort of thing done.",had liberals let go of their dream of big government's supervisory role,we would have long ago achieved the dream of universal access to decent care,94,164,17,92
200054,"""When we issue these bonds it's to provide a public service."" He added that if the court had gone the other way ""it wouldn't have been doomsday but it could have created the potential for higher borrowing costs."" The ruling also prevented a massive revaluation of the market.","""When we issue these bonds it's to provide a public service."" He added that if the court had gone the other way","""it wouldn't have been doomsday but it could have created the potential for higher borrowing costs."" The ruling also prevented a massive revaluation of the market",0,110,112,273
200055,"If I were you, I think I would lose my shit.",If I were you,I think I would lose my shit,0,12,15,42
200056,"This rape might not have happened had police quickly processed evidence from the sexual assault exam - or ""rape kit""- from another Tumwater rape the previous summer.","had police quickly processed evidence from the sexual assault exam - or ""rape kit""- from another Tumwater rape the previous summer",This rape might not have happened,34,163,0,32
200057,"This is a defeat? If Obama had asked for a second stimulus directly, he would have been laughed out of town.",If Obama had asked for a second stimulus directly,he would have been laughed out of town,18,66,69,106
200058,"He could have stayed on his wife's policy for a time while going through his divorce, but it would have cost $300 a month.""That's a car payment,"" he said.",He could have stayed on his wife's policy for a time while going through his divorce,it would have cost $300 a month,0,83,90,120
200059,"Nike's revenue last quarter alone climbed a solid 5%, to $8.432 billion, and would have increased 7% had it not been for foreign-currency exchange.",had it not been for foreign-currency exchange,would have increased 7,101,145,77,98
200060,"Christine Blasey Ford certainly showed that she could get her point across without stooping to Kavanaugh-level hysterics, and it probably wouldn't have gone better for her if she'd pitched a tantrum; that was the right call.",if she'd pitched a tantrum,it probably wouldn't have gone better for her,172,197,126,170
200061,She should have been better prepared with foods that her daughter would eat.,She should have been better prepared with foods that her daughter would eat,{},0,74,-1,-1
200062,"Apparently, Saul didn't consider the fact that if Soptic had still had health insurance, perhaps his wife's cancer would have been caught before it was too late.",if Soptic had still had health insurance,his wife's cancer would have been caught before it was too late,47,86,97,159
200063,The ONS estimated productivity was 17 percent below where it would have been if Britain had been able to maintain its pre-crisis growth rate - compared with a 9 percent shortfall in other major advanced economies.,if Britain had been able to maintain its pre-crisis growth rate,productivity was 17 percent below where it would have been,77,139,18,75
200064,"Dobbs has weighed in-presumably when he is off-air, since if Dobbs was wedging his second job as Secretary of What Televisionland Thinks into commercial breaks one would imagine that would have itself been noted-on tax and trade policies in particular.",if Dobbs was wedging his second job as Secretary of What Televisionland Thinks into commercial breaks,one would imagine that would have itself been noted-on tax and trade policies in particular,58,158,160,250
200065,"""If it was down to the Bundesbank then we wouldn't have bought any euro zone debt,"" he said.",If it was down to the Bundesbank,we wouldn't have bought any euro zone debt,1,32,39,80
200066,"If political races are won by the biggest ad spenders, the contrast between Senator Obama's online ad spending and that of Clinton's could have people wondering whether more of her ad budget should have been spent online.",If political races are won by the biggest ad spenders,the contrast between Senator Obama's online ad spending and that of Clinton's could have people wondering whether more of her ad budget should have been spent online,0,52,55,219
200067,I would not have started with NAFTA and I would not have started with the Europeans.,I would not have started with NAFTA and I would not have started with the Europeans,{},0,82,-1,-1
200068,"Perhaps I might have said the same thing if I had not seen the tongue jut, but I doubt it.",if I had not seen the tongue jut,I might have said the same thing,41,72,8,39
200069,"If we had shown insufficient gratitude, there would have been no point to assert that none was expected if indeed none was expected.",If we had shown insufficient gratitude,there would have been no point to assert that none was expected if indeed none was expected,0,37,40,130
200070,"""It is the one thing, if we had been able to get some bipartisanship around it, that could have had a significant effect on cost,"" says James Capretta, who was a top budget official in George W.",if we had been able to get some bipartisanship around it,that could have had a significant effect on cost,22,77,80,127
200071,"""If we had known (what the problem was), maybe this tragedy would have never happened,"" the ministry's mining secretary, Alexandre Vidigal, said.",If we had known (what the problem was),maybe this tragedy would have never happened,1,38,41,84
200072,"If it had been a naval battle, this is what you would've seen from shore yesterday along the Ohio River in Cincinnati: the U.S.S.",If it had been a naval battle,this is what you would've seen from shore yesterday along the Ohio River in Cincinnati: the U.S.S,0,28,31,127
200073,"That said, if Jefferson and Jackson had had their way (with no ""values"" discussion allowed to interfere with government, and no ""legislating of morality""), abolition would have remained on the back burner of American discourse.","if Jefferson and Jackson had had their way (with no ""values"" discussion allowed to interfere with government, and no ""legislating of morality"")",abolition would have remained on the back burner of American discourse,11,153,156,225
200074,I can build more trust than if I didn't make a mistake in the first place.,if I didn't make a mistake in the first place,I can build more trust,28,72,0,21
200075,"Both Mr Romney and John McCain, the partys nominee in 2008, would have been president if they had faced the same (largely lily-white) electorate as Ronald Reagan did in 1980, says Whit Ayres, a Republican pollster.","if they had faced the same (largely lily-white) electorate as Ronald Reagan did in 1980, says Whit Ayres, a Republican pollster","Both Mr Romney and John McCain, the partys nominee in 2008, would have been president",86,212,0,84
200076,"He had been seen as the leading internal candidate to succeed Diamond, although some investors had questioned his lack of investment banking experience and would have preferred an external hire to mark a bigger change.",although some investors had questioned his lack of investment banking experience and would have preferred an external hire to mark a bigger change,He had been seen as the leading internal candidate to succeed Diamond,71,216,0,68
200077,"""They showed me how to put the baby to my breast but they didn't teach me about breast-feeding,"" said Ms. Redmond, of Snellville, Ga., who is now 24, ""It was discouraging to struggle with what I thought was supposed to come natural, and I wish they had at least told me what to expect and what was normal."".",and I wish they had at least told me what to expect and what was normal,{},233,303,-1,-1
200078,"If these guys had done their job right, I wouldn't be here apologizing to Eric, Tim, and Rick.",If these guys had done their job right,"I wouldn't be here apologizing to Eric, Tim, and Rick",0,37,40,92
200079,"Heidi Alexander, Labour's shadow health secretary, said Mr Hunt had allowed pride to get in the way of his judgment and that the dispute could have been resolved earlier.",the dispute could have been resolved earlier,{},125,168,-1,-1
200080,"""Wish I'd have won,"" Mr. Romney told the man.",Wish I'd have won,{},1,17,-1,-1
200081,"""If you were going to sell it, you should have sold it two years ago, at the top of the market."" On the other hand, GE is taking the right steps by trying to reduce its exposure to consumer finance, said Meyers, who owns GE stock for its international sales and because of prospects for infrastructure demand.",If you were going to sell it,you should have sold it two years ago,1,28,31,67
200082,"Reports in Spanish news websites El Confidencial and Moncloa.com said that BBVA had hired Grupo Cenyt in 2004 to investigate executives from the construction firm Sacyr Vallehermoso in order to head off a takeover bid by the company that would have pushed out Francisco GonzaÌlez, BBVA's recently retired chairman.",BBVA had hired Grupo Cenyt in 2004 to investigate executives from the construction firm Sacyr Vallehermoso in order to head off a takeover bid by the company that would have pushed out Francisco GonzaÌlez,{},75,279,-1,-1
200083,"""I had hoped was there would have been a stronger endorsement of the schedule,"" he said.",I had hoped was,there would have been a stronger endorsement of the schedule,1,15,17,76
200084,"Such antics might be little more than a legal curiosity were it not for the fact that the opposition Conservative Party in Britain has said it would, once in office, call a referendum on Lisbon if the treaty has not been ratified by all 27 EU members.","were it not for the fact that the opposition Conservative Party in Britain has said it would, once in office, call a referendum on Lisbon if the treaty has not been ratified by all 27 EU members",Such antics might be little more than a legal curiosity,56,249,0,54
200085,"Perhaps if President Obama's position had been that the sequester should be replaced entirely with tax hikes on the wealthy he'd have had an easier time building enthusiasm for his position, but that would have been inconsistent with his whole ""balanced approach"" schtick.",if President Obama's position had been that the sequester should be replaced entirely with tax hikes on the wealthy,he'd have had an easier time building enthusiasm for his position,8,122,124,188
200086,"And now, his ""watershed moment"" letter, which leads to the question of whether Icahn would still be pressing to hold eBay's board accountable if the company had accepted his 20% spin-off proposal.",if the company had accepted his 20% spin-off proposal,which leads to the question of whether Icahn would still be pressing to hold eBay's board accountable,142,194,40,140
200087,Trump could have told Bibi that he would move the embassy but only in return for Israel halting all settlement-building beyond the West Bank blocks in the densely populated Arab areas that would likely be put under Palestinian control in any peace deal.,but only in return for Israel halting all settlement-building beyond the West Bank blocks in the densely populated Arab areas that would likely be put under Palestinian control in any peace deal,Trump could have told Bibi that he would move the embassy,58,251,0,56
200088,"In determining who that is, I will not rule out Mr. Biden just because he could have done a better job running the Thomas confirmation hearings resulting from his inability.",he could have done a better job running the Thomas confirmation hearings resulting from his inability,{},71,171,-1,-1
200089,People who would be eating cat food or going completely hungry part of each month were it not for the food stamp program Romney and Ryan want to gut.,were it not for the food stamp program Romney and Ryan want to gut,People who would be eating cat food or going completely hungry part of each month,82,147,0,80
200090,"If you're newly unemployed or have been unemployed for a while, you may have questions about your unemployment benefits that need answers.",If you're newly unemployed or have been unemployed for a while,you may have questions about your unemployment benefits that need answers,0,61,64,136
200091,"If I were his political advisor, I'd tell him to turn the heat up on his own party even more, creating some distance politically and hopefully wounding their pride enough that they get it together.",If I were his political advisor,"I'd tell him to turn the heat up on his own party even more, creating some distance politically and hopefully wounding their pride enough that they get it together",0,30,33,195
200092,"If Schwab truly had a huge moat, these competitors would have had a difficult time gaining any traction, which they have.",If Schwab truly had a huge moat,these competitors would have had a difficult time gaining any traction,0,30,33,102
200093,"""I think this could have been corrected without this really seismic assault on the Cyprus economy,"" he said.",without this really seismic assault on the Cyprus economy,this could have been corrected,40,96,9,38
200094,"2008 was before super-PACS, and an IRS statement says the audits are NOT part of a broader effort: ""The IRS has opened examinations of five donors who had not filed gift tax returns to determine if the donation were taxable gifts and if a gift tax return should have been filed.""",if a gift tax return should have been filed,{},234,276,-1,-1
200095,"The tragedy, as so often with Mr Trump, is that if he were only more like the pragmatic problem-solver he claims to be, he could have done some real good.",if he were only more like the pragmatic problem-solver he claims to be,he could have done some real good,48,117,120,152
200096,"Had Mr. Trump and his coterie done nothing wrong, they would have had little to fear from the special counsel, and a report from Mr. Mueller that cleared him would be the gold seal of approval.",Had Mr. Trump and his coterie done nothing wrong,they would have had little to fear from the special counsel,0,47,50,108
200097,"Had the latest regulations been in place in 2009, estimates Autonomous, a research firm, Deutsches ratio would have been a threadbare 2.4%, and just 5.5% even in mid-2012.",Had the latest regulations been in place in 2009,"Deutsches ratio would have been a threadbare 2.4%, and just 5.5% even in mid-2012",0,47,89,169
200098,"It's unlikely that moderates were simply renaming themselves as conservatives; if that had happened, you wouldn't have seen a sharp decline in the share of the electorate who voted for Obama in 2008.",if that had happened,you wouldn't have seen a sharp decline in the share of the electorate who voted for Obama in 2008,79,98,101,197
200099,"The aggressive pricing poses a risk to their profit margins, but I doubt they would have bid so low if they didn't think they could make a profit on the deal.",if they didn't think they could make a profit on the deal,I doubt they would have bid so low,100,156,65,98
200100,"Oh if only students knew how easy this stuff is to spot, the entire practice would cease worldwide! First off, there are now many computer-based plagiarism checkers (e.g., ""turnitin"" via BlackBoard). Let alone the power of the Google search engine.",if only students knew how easy this stuff is to spot,the entire practice would cease worldwide,3,54,57,97
200101,"New Labour's creation of the Financial Services Authority ""could have worked well"", she says, but ""the chancellor then wrecked any chance it had of being effective with the 'light touch' approach to regulation"".","New Labour's creation of the Financial Services Authority ""could have worked well""",{},0,81,-1,-1
200102,But try considering how employees' wage negotiations with the government might look if there were no public-sector unions.,if there were no public-sector unions,try considering how employees' wage negotiations with the government might look,84,120,4,82
200103,"""Had Treasury allowed GMAC to fail, no single competitor or group of competitors could have stepped in to absorb GMAC's entire loan portfolio,"" she said, adding that GM estimated that a new provider would have taken up to six months to create the infrastructure necessary to fill the void created by a GMAC failure.",Had Treasury allowed GMAC to fail,no single competitor or group of competitors could have stepped in to absorb GMAC's entire loan portfolio,1,33,36,140
200104,"In the athletic realm it would have made sense if Joe had become a runner, depending only on himself for victory.","if Joe had become a runner, depending only on himself for victory",it would have made sense,47,111,22,45
200105,"Overall, those people may still be better off than they would be if New Jersey had never created it.",if New Jersey had never created it,those people may still be better off than they would be,65,98,9,63
200106,"""Because they should have seen ¡­""",Because they should have seen,{},1,29,-1,-1
200107,"He might have been keen on income, if not for knowing that guaranteeing a long-term sustainable income from equities without being hugely diversified was a tricky business.",without being hugely diversified was a tricky business,He might have been keen on income,117,170,0,32
200108,"""Had any individual other than these individuals, who worked immediately for President Trump, performed these actions,"" he told MSNBC's Chris Hayes, ""they would have immediately had their clearances pulled.""",they would have immediately had their clearances pulled,they would have immediately had their clearances pulled,150,204,150,204
200109,"If you happened to be a FOX News viewer, however, you'd have been lucky to find out.",If you happened to be a FOX News viewer,you'd have been lucky to find out,0,38,50,82
200110,"At the time, we would have been genuinely surprised had Blum managed to pull off another win.",had Blum managed to pull off another win,"At the time, we would have been genuinely surprised",52,91,0,50
200111,"Without your help, we couldn't finish this task",Without your help,we couldn't finish this task,0,16,19,46
200112,"Frankly, fans likely would not have reacted with such outrage had the season progressed all along as it had been.",had the season progressed all along as it had been,fans likely would not have reacted with such outrage,62,111,9,60
200113,"""We weren't as prudent about cost control as we should have been,"" he said.",we should have been,prudent about cost control,45,63,15,40
200114,Sexual harassment in Congress is a scandal-and it would probably be a lot more of one if Congress hadn't written its own rules for dealing with allegations in secret.,if Congress hadn't written its own rules for dealing with allegations in secret,it would probably be a lot more of one,86,164,47,84
200115,"Had this system been in place in 2010, for instance, it's very likely that it would have prevented the election of Republican Gov. Paul LePage, as left-leaning voters split between liberal independent Eliot Cutler and Democrat Libby Mitchell..",Had this system been in place in 2010,"it would have prevented the election of Republican Gov. Paul LePage, as left-leaning voters split between liberal independent Eliot Cutler and Democrat Libby Mitchell",0,36,75,240
200116,If this had been a group of boys would the response been the same? I doubt it.,If this had been a group of boys,would the response been the same,0,31,33,64
200117,"""Quite frankly, I wish we had gone more rapidly but investigations take time,"" said Chilton.",I wish we had gone more rapidly,{},16,46,-1,-1
200118,If only they could have honestly talked about their early lives and we could understand better why they have their struggles.,If only they could have honestly talked about their early lives,we could understand better why they have their struggles,0,62,68,123
200119,"""If I could make exercise into a pill, I would,"" she says.",If I could make exercise into a pill,I would,1,36,39,45
200120,"It would have been unimaginable ten years ago, when the peace deal on Bosnia-Hercegovina was agreed on at an air base in Dayton, Ohio, on November 21st 1995, ending a war between Serbs, Croats and Muslims (known as Bosniaks), in which Serbia and Croatia had sought to carve up Bosnia.",It would have been unimaginable ten years ago,{},0,44,-1,-1
200121,Clinton won the majority of the popular vote in 2016 and would have won the election if 52 percent of white women voters had not voted against her-and effectively for patriarchy-which does complexify the issue.,if 52 percent of white women voters had not voted against her-and effectively for patriarchy-which does complexify the issue,Clinton won the majority of the popular vote in 2016 and would have won the election,85,208,0,83
200122,"I wish I could have done more, I was having so much fun.",I wish I could have done more,I was having so much fun,0,28,31,54
200123,"Had the federal government shut down, Washington's city government would have had to pull down the shutters as well, since it is merely an appendage of Congress, financially speaking.",Had the federal government shut down,"Washington's city government would have had to pull down the shutters as well, since it is merely an appendage of Congress, financially speaking",0,35,38,181
200124,He claimed AIG would have realised few losses if its trades had not been unwound in the bail-out.,if its trades had not been unwound in the bail-out,AIG would have realised few losses,46,95,11,44
200125,"""I would have said Abercrombie is the strongest were it not for the exposure to Europe and the need to potentially lower prices there over the next few months given shopper reactions,"" said Rahul Sharma, managing director of investment management firm Neev Capital.",were it not for the exposure to Europe and the need to potentially lower prices there over the next few months given shopper reactions,I would have said Abercrombie is the strongest,48,181,1,46
200126,Americans would have been promised universal coverage and insurers would have been forced to accept everyone regardless of their state of healthbut free riders could easily avoid paying into the system until they fell sick.,Americans would have been promised universal coverage and insurers would have been forced to accept everyone regardless of their state of health,free riders could easily avoid paying into the system until they fell sick,0,143,148,221
200127,"Had Mr. Trump's immigration policies been in effect at the time, Mr. Miller's uncle writes in the article, ""I shudder at the thought of what would have become of the Glossers."".","Had Mr. Trump's immigration policies been in effect at the time, Mr. Miller's uncle writes in the article",I shudder at the thought of what would have become of the Glossers,0,104,108,173
200128,"Had sprawl not been kept in check, he adds, Oregons booming wine industry would not exist, since houses and vines would otherwise compete for the same south-facing hillsides.",Had sprawl not been kept in check,"Oregons booming wine industry would not exist, since houses and vines would otherwise compete for the same south-facing hillsides",0,32,44,172
200129,"If drisapersen had passed its phase 3, it looked like the best Sarepta could do was to launch at the same time as drisapersen, and if it had to wait for a standard approval, could have been a year or more behind.",If drisapersen had passed its phase 3,it looked like the best Sarepta could do was to launch at the same time as drisapersen,0,36,39,124
200130,"And if we had strong leadership who could explain that to the American public, I know the people would go for it.",if we had strong leadership who could explain that to the American public,I know the people would go for it,4,76,79,111
200131,You can thumb your nose at Uncle Sam for the $225 in taxes that you would have paid if you had you actually sold the stock and donated the cash.,if you had you actually sold the stock and donated the cash,You can thumb your nose at Uncle Sam for the $225 in taxes that you would have paid,84,142,0,82
200132,"""If GM had kept Opel, it would have been against the government's wishes and tensions could have mounted between the German government and the United States which would have reflected badly on Merkel,"" said Peter Loesche, emeritus political scientist at Goettingen University.",If GM had kept Opel,it would have been against the government's wishes,1,19,22,71
